predictions,Datetime
45811.30859,2/13/2021 10:00
42777.375,2/14/2021 10:00
45739.91016,2/15/2021 10:00
44457.85938,2/16/2021 10:00
45230.44141,2/17/2021 10:00
43714.63672,2/18/2021 10:00
45411.54688,2/19/2021 10:00
43552.21875,2/20/2021 10:00
44717.96094,2/21/2021 10:00
43319.78516,2/22/2021 10:00
44223.57813,2/23/2021 10:00
44620.22266,2/24/2021 10:00
41087.51953,2/25/2021 10:00
39110.25,2/26/2021 10:00
40427.11719,2/27/2021 10:00
39853.34375,2/28/2021 10:00
39792.59766,3/1/2021 10:00
41245.99219,3/2/2021 10:00
37580.05078,3/3/2021 10:00
29855.91016,2/1/2022 10:00
30813.94141,2/2/2022 10:00
34913.00781,2/3/2022 10:00
34285.37109,2/4/2022 10:00
33711.88281,2/5/2022 10:00
35882.12891,2/6/2022 10:00
37742.29688,2/7/2022 10:00
40800.64453,2/8/2022 10:00
40742.32813,2/9/2022 10:00
40733.5,2/10/2022 10:00
41768.19531,2/11/2022 10:00
37518.25391,2/12/2022 10:00
39340.10547,2/13/2022 10:00
39746.69531,2/14/2022 10:00
41837.375,2/15/2022 10:00
39616.91406,2/16/2022 10:00
39390.49219,2/17/2022 10:00
38582.58203,2/18/2022 10:00
39711.15625,2/19/2022 10:00
39205.77734,2/20/2022 10:00
37632.25391,2/21/2022 10:00
41768.19531,2/22/2022 10:00
37518.25391,2/23/2022 10:00
39340.10547,2/24/2022 10:00
